slug,requete,auteur,page_pexels,duree_s
auto-massage-quadriceps,"foam rolling quads","MART  PRODUCTION",https://www.pexels.com/video/person-doing-exercise-8837122/,23
automassage-mollets,"foam rolling calf muscle recovery","Kindel Media",https://www.pexels.com/video/man-massaging-his-calf-muscle-7299361/,12
blocage-sol-parade-basse,"goalkeeper low save training drill","Tima Miroshnichenko",https://www.pexels.com/video/soccers-player-training-6084018/,10
bondissements-avant-reception,"broad jump landing exercise","Mharee Lynn Eulanda Guillena",https://www.pexels.com/video/athlete-long-jump-at-outdoor-track-event-31229030/,9
bondissements-lateraux,"lateral jumps exercise","Tima Miroshnichenko",https://www.pexels.com/video/woman-doing-jump-box-6388435/,17
centre-frappe-couloir,"soccer crossing drill","RAHULKUMAR R",https://www.pexels.com/video/energetic-youth-soccer-team-training-outdoors-36294544/,11
changement-direction-reactif-partenaire,"soccer agility cone drill","Tima Miroshnichenko",https://www.pexels.com/video/football-team-training-in-airdome-6084028/,9
circuit-ballon-cardio-technique,"soccer ball circuit training","Emeric Kalil",https://www.pexels.com/video/coach-with-children-during-soccer-training-11124327/,5
circuit-cardio-combine,"circuit training workout","Pexels User",https://www.pexels.com/video/a-woman-in-a-pink-top-is-doing-a-squat-27831609/,8
conduite-balle-int-ext,"soccer dribbling","cottonbro studio",https://www.pexels.com/video/men-playing-football-10329081/,6
controle-orientation-corps,"soccer player turning with ball","Anastasia  Shuraeva",https://www.pexels.com/video/woman-kicking-a-soccer-ball-9440064/,12
controle-oriente-frappe-rapide,"soccer first touch control","Diyorbek Mirzamakhmudov",https://www.pexels.com/video/juggling-football-27353726/,5
course-cote-courte,"hill sprint training","Shulabh Singh  Chauhan",https://www.pexels.com/video/outdoor-athletic-training-with-hurdle-drills-36205142/,20
course-lente-relachement,"jogging outdoors","Ajmal  Mohib",https://www.pexels.com/video/solo-runner-on-overcast-day-in-urban-park-29639948/,6
crochet-interieur-frappe,"soccer cut inside shot","Tima Miroshnichenko",https://www.pexels.com/video/football-player-kicking-penalty-in-indoor-sports-field-6077727/,15
debordement-exterieur-centre,"soccer winger dribble down the wing","Anastasia  Shuraeva",https://www.pexels.com/video/woman-kicking-a-soccer-ball-9440064/,12
defense-1v1-face-dribbleur,"soccer one on one defending","Anastasia  Shuraeva",https://www.pexels.com/video/a-player-defending-the-goal-9517747/,9
departs-reactifs-signal,"sprint start athlete","Mharee Lynn Eulanda Guillena",https://www.pexels.com/video/athletes-in-action-on-sunny-track-day-31229029/,12
distribution-precise-main,"goalkeeper throw ball","Tima Miroshnichenko",https://www.pexels.com/video/football-player-throwing-ball-from-outside-6078274/,10
distribution-sous-pression,"goalkeeper quick distribution drill","Tima Miroshnichenko",https://www.pexels.com/video/soccers-player-training-6084018/,10
dribble-1v1-plot-mobile,"soccer one on one dribble","cottonbro studio",https://www.pexels.com/video/men-playing-football-10329081/,6
duel-aerien-defensif,"soccer aerial duel header","RAHULKUMAR R",https://www.pexels.com/video/aerial-view-of-football-team-huddle-36296321/,13
duel-face-a-face-gardien,"goalkeeper one on one save","Tima Miroshnichenko",https://www.pexels.com/video/back-view-of-football-player-taking-penalty-kick-6084017/,11
echelle-agilite-pieds,"agility ladder drill","Tima Miroshnichenko",https://www.pexels.com/video/football-team-training-indoors-6077694/,8
elastique-marche-laterale,"resistance band lateral walk","MART  PRODUCTION",https://www.pexels.com/video/a-woman-working-out-using-a-resistance-band-8836979/,27
enchainement-plongeon-releve-plongeon,"goalkeeper diving save drill","Tima Miroshnichenko",https://www.pexels.com/video/soccers-player-training-6084018/,10
equilibre-unipodal-genoux,"yoga tree pose one leg balance","Polina ⠀",https://www.pexels.com/video/woman-performing-eka-pada-pranamasana-6019950/,17
etirement-fessiers-pigeon,"pigeon pose stretch","Yan Krukau",https://www.pexels.com/video/a-woman-doing-the-half-pigeon-pose-8480263/,17
etirements-adducteurs,"groin stretch","Shulabh Singh  Chauhan",https://www.pexels.com/video/teen-stretching-on-soccer-field-36662881/,19
etirements-ischio-dynamiques,"hamstring stretch","RingTheBell.com Task Manager",https://www.pexels.com/video/coach-teach-a-man-how-to-do-proper-exercise-3694921/,24
feintes-corps-piquet,"soccer feint move","NBSKILLS10",https://www.pexels.com/video/soccer-freestyling-in-urban-environment-38002813/,5
fentes-avant-alternees,"lunge exercise","olia danilevich",https://www.pexels.com/video/woman-doing-leg-lunges-4488004/,13
fentes-laterales-mobilite-hanches,"lateral lunge exercise","olia danilevich",https://www.pexels.com/video/woman-doing-leg-lunges-4488004/,13
finition-1v1-gardien,"soccer one on one goalkeeper finish","Tima Miroshnichenko",https://www.pexels.com/video/soccer-players-kicking-ball-into-the-soccer-goal-6077715/,17
footing-continu,"jogging outdoors","Ajmal  Mohib",https://www.pexels.com/video/solo-runner-on-overcast-day-in-urban-park-29639948/,6
footing-tempo-progressif,"tempo run training","Franco Garcia",https://www.pexels.com/video/group-exercise-session-on-a-sunny-day-38676016/,8
footwork-echelle-gardien,"goalkeeper agility ladder drill training","Tima Miroshnichenko",https://www.pexels.com/video/football-team-training-indoors-6077694/,8
fractionne-30-30,"interval running training","umar muazu",https://www.pexels.com/video/runner-on-outdoor-track-during-daytime-32240945/,15
frappe-basse-enroulee-poteau,"soccer low curved shot","cottonbro studio",https://www.pexels.com/video/two-men-having-their-own-soccer-ball-10349007/,11
frappe-enroulee-cible,"soccer free kick curve","Tima Miroshnichenko",https://www.pexels.com/video/a-player-kicking-a-soccer-ball-6078257/,19
frappe-exterieur-surprise,"soccer outside foot shot","cottonbro studio",https://www.pexels.com/video/men-playing-football-10329081/,6
frappe-longue-distance,"soccer long range shot","Tima Miroshnichenko",https://www.pexels.com/video/football-player-kicking-penalty-in-indoor-sports-field-6077727/,15
frappe-pied-faible-cible,"soccer weak foot shot","cottonbro studio",https://www.pexels.com/video/a-man-kicking-a-soccer-ball-10349008/,6
frappe-premiere-intention,"soccer one touch shot","Tima Miroshnichenko",https://www.pexels.com/video/back-view-of-football-player-taking-penalty-kick-6078261/,9
frappe-puissance-surface,"soccer shooting drill","RAHULKUMAR R",https://www.pexels.com/video/energetic-youth-soccer-team-training-outdoors-36294544/,11
frappe-volee-ballon-lance,"soccer volley shot","cottonbro studio",https://www.pexels.com/video/man-playing-volleyball-against-black-background-10350519/,11
gainage-lateral,"side plank exercise","Polina Tankilevitch",https://www.pexels.com/video/side-view-of-woman-exercising-legs-6525477/,8
gainage-lombaire-doux,"core stability exercise lying on back","SHVETS production",https://www.pexels.com/video/man-doing-work-out-8050100/,7
gainage-mountain-climbers,"mountain climbers exercise","olia danilevich",https://www.pexels.com/video/woman-exercising-outdoors-5025787/,13
gainage-oiseau-chien-stabilite,"core stability exercise hands and knees","Miriam Alonso",https://www.pexels.com/video/a-woman-doing-yoga-7589744/,13
gainage-planche-ventrale,"plank exercise","Polina Tankilevitch",https://www.pexels.com/video/side-view-of-woman-exercising-legs-6525477/,8
gainage-rotation-medecine,"medicine ball twist exercise","Anastasia  Shuraeva",https://www.pexels.com/video/people-working-out-at-the-gym-4944393/,23
gammes-cardio-ballon,"soccer warm up with ball","RDNE Stock project",https://www.pexels.com/video/a-man-playing-a-soccer-ball-7187118/,13
hiit-leger-20-10,"hiit workout timer","Tima Miroshnichenko",https://www.pexels.com/video/man-doing-jump-box-6389054/,18
hip-thrust-sol,"glute bridge exercise","Polina Tankilevitch",https://www.pexels.com/video/woman-working-out-6525525/,6
interception-lecture-trajectoire,"soccer interception pass","COPA ORANGE",https://www.pexels.com/video/indoor-soccer-match-with-players-in-action-36509537/,10
jockey-defensif-pas-chasses,"soccer defender footwork side steps drill","Emeric Kalil",https://www.pexels.com/video/coach-with-children-during-soccer-training-11124327/,5
jonglage-cardio-deplacement,"football juggling walking","Souhityo Das",https://www.pexels.com/video/freestyle-football-skills-in-front-of-vibrant-mural-38224973/,5
jonglages-progressifs,"football juggling","NBSKILLS10",https://www.pexels.com/video/young-man-practicing-soccer-skills-outdoors-38236117/,16
marche-active-accelerations,"brisk walking outdoors","Andres  Ayrton",https://www.pexels.com/video/a-woman-walking-on-the-street-6548034/,10
mobilite-chevilles,"ankle rotation exercise warm up","Pavel Danilyuk",https://www.pexels.com/video/people-warming-up-the-ankle-6326760/,11
mobilite-epaules-cercles,"shoulder mobility exercise","Pavel Danilyuk",https://www.pexels.com/video/trainer-warming-up-the-shoulders-6326765/,16
mobilite-hanches-cercles,"hip mobility exercise","Maksim Goncharenok",https://www.pexels.com/video/woman-in-black-activewear-doing-leg-and-hip-exercise-5510143/,18
montees-marche-explosives,"step up exercise box","RDNE Stock project",https://www.pexels.com/video/a-woman-doing-weighted-box-step-ups-8402107/,11
navette-progressive,"shuttle run fitness test track","Airam Dato-on",https://www.pexels.com/video/athlete-preparing-for-sprint-on-outdoor-track-32067871/,9
nordic-curl-assiste,"nordic hamstring curl","Sport O'Scope",https://www.pexels.com/video/outdoor-fitness-dynamic-leg-workout-routine-38467169/,27
passe-cassee-entre-lignes,"soccer pass between lines","RAHULKUMAR R",https://www.pexels.com/video/aerial-view-of-soccer-game-intense-play-36295629/,14
passe-exterieur-tranchante,"soccer outside foot pass","NBSKILLS10",https://www.pexels.com/video/teen-practicing-soccer-skills-outdoors-37960919/,5
passe-longue-diagonale,"soccer long diagonal pass","This And No Internet 25",https://www.pexels.com/video/youth-soccer-game-on-outdoor-field-37179927/,12
